DEBUG 2024-08-07 22:50:37,790 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1722979184.444031
DEBUG 2024-08-07 22:50:37,790 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1722979182.5420024
DEBUG 2024-08-07 22:50:37,791 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1722979183.9164493
DEBUG 2024-08-07 22:50:37,791 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1722979184.410122
DEBUG 2024-08-07 22:50:37,792 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\unittest\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,793 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\idna\package_data.py first seen with mtime 1723035953.4491894
DEBUG 2024-08-07 22:50:37,794 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_common.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,794 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,795 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\urllib3\response.py first seen with mtime 1723035951.2801282
DEBUG 2024-08-07 22:50:37,795 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\requests\api.py first seen with mtime 1723035954.6463861
DEBUG 2024-08-07 22:50:37,795 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\email\_header_value_parser.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,796 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1722979184.4500155
DEBUG 2024-08-07 22:50:37,796 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,797 autoreload File Z:\webprojects\SoftDesk\softdesk\comments\admin.py first seen with mtime 1722979181.0157833
DEBUG 2024-08-07 22:50:37,799 autoreload File Z:\webprojects\SoftDesk\softdesk\manage.py first seen with mtime 1722979181.0267537
DEBUG 2024-08-07 22:50:37,799 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\csv.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,800 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_itertools.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,800 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\secrets.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,801 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\shutil.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,801 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\schemas\utils.py first seen with mtime 1722979184.3652446
DEBUG 2024-08-07 22:50:37,802 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,802 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\re\_constants.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,802 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\signal.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,803 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1722979183.8635912
DEBUG 2024-08-07 22:50:37,803 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,803 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,804 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\token.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,804 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\importlib\readers.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,804 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\email\mime\text.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,805 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1722979184.4500155
DEBUG 2024-08-07 22:50:37,806 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\asyncio\tasks.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,806 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,806 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1722979184.444031
DEBUG 2024-08-07 22:50:37,807 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1722979184.0032158
DEBUG 2024-08-07 22:50:37,807 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1722979183.7907877
DEBUG 2024-08-07 22:50:37,808 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\DLLs\_bz2.pyd first seen with mtime 1712667062.0
DEBUG 2024-08-07 22:50:37,808 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1722979184.4091249
DEBUG 2024-08-07 22:50:37,809 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\charset_normalizer\utils.py first seen with mtime 1723035954.1283736
